,user_id,username,name
243,516643099,ohhhhherewego,ivy
244,1514946669011472393,mqeves,maeve
245,1194720122793017344,meanlore,regina george
246,894175337134817281,kayhanataberk,maraz ata
247,1270407885755998208,alltoowellbabe,daiz 💌
248,1206154987325157376,angusgordon9,Angus Gordon
249,67001515,shanekse85,Shane Kiely
250,1144552092385849344,hwyoudoing,lara
251,1032995151898017792,jichuswift,zy 🎀
252,1420206935324852234,tayrianaxo,anna 🪩
253,1234252361784340487,jedimasteriman,iman 🦕
254,1481972014659555328,tayrichbey,🧣sam 🧣 (Taylor's Version)
255,1433515490106806280,dearblackford,anavi
256,1448675890578157568,afshanishere,Afshaaiq :)
257,1324283848423841797,marcomars__,marco
258,1368516055212175362,evermoxre,anika 🫶
259,1294687051728781330,tiktokonclock1,Notion Swift (follow limit)
260,1511697077050687495,brishti119,Taylor🧣 on follow limit
261,303412577,stuart11,Stuart 🏳️‍🌈
262,1350554470812446722,tswiftfiles,•Toni•|JFJD|SG3 IS COMING|beware rep stan|
263,1327951332892938242,tommoesma,Esma³⁶⁹🌵
264,1341740512991178762,goldenivymoon,kayley | pippa day 🎈
265,1403231306335633411,harikasinzeyn,Zeyn🧣|| harry's house
266,1006161363360628736,bunsenburden,jordi
267,1237232727180505089,wh0re4zaynmalik,chloe 🦇 | CLAIMED TRACK 5
268,703321577442693121,poutrry,harry's bubble 🫧🫶🏼
269,2981781562,missinstyles,h.☼
270,1208714406693089280,ribs_bylorde,nele
271,2218827018,inthafineline,gab 57
272,1456332774382907392,haiohabits,❥ ❥ ❥
273,1491339053899616257,hoonsoufle,ꔛ
274,1301181689901846530,secretsfromtay,maya🧣8 DAYS
275,1511840589813276676,alisonoliverbr,Alison Oliver Brasil
276,715012400,whoiskelvo,kelvo maximoff
277,1398516121293135878,tarunsharma0009,Tarun⸆⸉🧣✨is waiting for 1989 TV Album
278,2319906134,findmytom,reibe
279,1085548165640663040,chandeiur,candela ♡
280,1056054432188616704,czescajaerice,czesca.
281,1366371027865899011,mewnbyul,moon
282,1393601495174717440,edensfumes,leen ☽
283,1355224137690734597,swifferupdates,Taylor Swift Updates🧣
284,900441622168702976,mercfolklore,zeynep⁶³ ⁴⁴🪩 RACE WEEK
285,1381303848548057093,thechartstats,Chart Stats
286,1010582920744976384,222minutes,222 Minutes
287,108925490,jubi_lance,ube
288,1324457811447828480,cristiaansgg,Ctian 🦋
289,1232733394397749248,gainmuttualls,gain mutuals ✬
290,550051841,louisstaples,Louis Staples
291,943985835594141696,haggisrry,betty²⁸ GOT A LOUIS NOTICE 🎡
292,1321362509907984390,raxhsed,raxh🍸HEARTSTOPPER🍿💕
293,1453240661956775936,n3ilthebadboy,Kathy
294,1049576010,ultimaddy,Aditya Bharadwaj ஆதித்யா பாரத்வாஜ் ആദിത്യ ഭരദ്വാജ്
295,1347803925873913856,lezbolore,dyke in mourning
296,1338669938999889921,goddamn_blaze,✨kristy🧚‍♀️(taylor’s version)✨
297,1122875594247692293,swiftarmy1989,Mollie. With an IE 🦋🧣(Taylor’s Version)🤍
298,790668215269466112,joeyswiftietx13,Joseph🦄
299,2396656964,sethaels,َ
300,1517517315600003074,simpingtay,Taylor Swift toy
301,1108440138172919808,sehnisweet,anji 🌷• fanart 🌱
302,1608958620,officiallymadii,madi’s rainbow connection 🌈
303,1062160253217841152,intheweeeds,iggy🧣 RSD taylors version truther
304,941417315106615296,treacheroustine,ًًkristine⸆⸉🎀
305,1268825061651185666,banditlikeswift,Rai
306,4906556530,belcroft_,Isabel
307,1495517794305204225,infotayriana,Tayriana Info 🫧🧣
308,1431030800674349056,testdrives2000,Isa
309,1385263519051001864,thisismetry1n9,Dani 🧣 I'll Burn This House I Mean It era
310,1275878910492921856,13sperryx,pıpıı🌸
311,1516827210040188931,eleanorisred,eleanor (taylor's version)
312,928696169236070400,anniecalvilloc,annie
313,1228322946676031492,jcksangelz,lana Ψ heartstopper spoilers
314,1285959862321418240,cherryswillows,tri🧣✨
315,4371165622,thegardener_val,Val
316,946718324041310208,imtaryee,บี๋เปนแมว(slow)
317,1489142989285130242,amnduh_,amanda ♡
318,1479146673171570690,illicitroads,alicia (taylor's version) 🧣 MATH IS NOT EASY
319,1407365021672394755,megansrep,meg 🫶🏼🪩 Liv in 23 days
320,3394230269,buniabuba,bunia 🐍
321,50084549,salhaj,Dr.Salahideen ALHAJ 🔶 🔸️#SDGs #Data #Gender 🇺🇦
322,1335165538981486593,riishabbh_,Rishabh 🧣 (Taylor's version)
323,1398553786600378368,rjwchatter,Russell James Williams
324,1217086118568611840,newscientistpod,New Scientist podcasts
325,709730942,senastiltskin,Sena
326,1461626165072859142,shakirafixati0n,f (taylor's version) 🫶🏽
327,1496410865259749376,herbttrflywngs,𓆤tuana (taylor's version)
328,1422872464972029953,daylightdemiley,İdil (Taylor's Version)
329,1390874471469174784,2amevermore,nicholai
330,2900957225,kardys44,josef rukavic
331,1495694226197291008,fearlessly_lia,lia🧣 | taylor’s version
332,3094894641,intaysarms,"love, giada 💌"
333,1493260519792336906,vision_escape,citizen insane
334,1421833241242259458,yawnzznlips,Dani ✘
335,1361180615186472960,oraclecoven,luna ⚔😘💅
336,756904127729311748,bookandle,รับหิ้วคิโนะ อนิเมท(IG:bookandle)
337,785104720675401728,nietadeoso,Nieta de Oso (En shock)
338,18033816,pigsandplans,Pigeons & Planes
339,969702983897419776,lu_abaroa,(Lu)⁷¹ciana
340,942595052,hayleygeronimo,hayley💘
341,2207647876,iminharrysheart,"love, gio⸆⸉"
342,1370277169805492235,abir01940,Abir 🧣(Taylor's Version)
343,1254841919701729281,ofertadlivros,Oferta D'Livros SORTEIO NO FIXADO 📌
344,1438652209328234499,casualliecruel,allie 🫧
345,1391158686228238336,brinahoodfandom,Summer 💌 Vice President of the alexi fanclub
346,1483460280378339330,nycromanticsx,red ✨
347,75459354,theadamreeves,“Hi Adammm!!!” LOVER SECRET SESSIONS - NASHVILLE
348,1338992339495346176,samipokanikan,sami (#1 ys stan)
349,1395279331,that_simone_,Simone Greenwood ✨📚
350,2428861627,blessedswifty,Taylor Swift Facts
351,68576370,womeninmusicorg,Women In Music
352,1501008147829473299,lesbianswiftie3,Summer 🏳️‍🌈🏳️‍⚧️🖖🏻
353,1354412831035289603,newromantique,aurora⸆⸉
354,4070091983,stormerthoughts,Em
355,1448894872539205632,tswiftiesthetic,aditi 🦋🥀
356,1280348057113165827,k4ynslut,LLEVINNÑNNNNÑ
